period,entity,department,commentary
2025-12,USA,G&A,"USA - G&A recorded opex of 289,914 vs budget of 294,236, representing a favorable variance of -4,322."
2025-12,USA,Marketing,"USA - Marketing recorded opex of 367,478 vs budget of 374,129, representing a favorable variance of -6,651."
2025-12,UK,Marketing,"UK - Marketing recorded opex of 241,848 vs budget of 250,845, representing a favorable variance of -8,997."
2025-12,UK,G&A,"UK - G&A recorded opex of 189,689 vs budget of 198,991, representing a favorable variance of -9,301."
2025-12,Canada,G&A,"Canada - G&A recorded opex of 219,734 vs budget of 229,304, representing a favorable variance of -9,570."
2025-12,Canada,Sales,"Canada - Sales recorded opex of 385,440 vs budget of 395,388, representing a favorable variance of -9,947."
2025-12,Canada,Marketing,"Canada - Marketing recorded opex of 278,767 vs budget of 291,076, representing a favorable variance of -12,309."
2025-12,Canada,Technology,"Canada - Technology recorded opex of 481,091 vs budget of 493,482, representing a favorable variance of -12,391."
2025-12,Canada,Operations,"Canada - Operations recorded opex of 518,738 vs budget of 533,808, representing a favorable variance of -15,069."
2025-12,UK,Operations,"UK - Operations recorded opex of 435,609 vs budget of 452,212, representing a favorable variance of -16,603."
2025-12,USA,Technology,"USA - Technology recorded opex of 632,832 vs budget of 651,366, representing a favorable variance of -18,534."
2025-12,UK,Sales,"UK - Sales recorded opex of 337,150 vs budget of 356,225, representing a favorable variance of -19,076."
2025-12,UK,Technology,"UK - Technology recorded opex of 398,939 vs budget of 418,508, representing a favorable variance of -19,569."
2025-12,USA,Operations,"USA - Operations recorded opex of 709,432 vs budget of 730,405, representing a favorable variance of -20,973."
2025-12,USA,Sales,"USA - Sales recorded opex of 517,964 vs budget of 539,916, representing a favorable variance of -21,952."
